u,v,key,osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,access,service,bridge,junction
317557535,4943314670,0,"[504129578, 224319933]",,service,False,False,116.434,,"LINESTRING (127.3610203 36.3734988, 127.3620302 36.3735079, 127.3621004 36.3735076, 127.3621016 36.3733302)",30,yes,parking_aisle,,
317557535,317557538,0,468996775,대학로291번길,service,False,False,128.99400000000003,,"LINESTRING (127.3610203 36.3734988, 127.3609187 36.3735043, 127.3606297 36.3735056, 127.3604698 36.3735034, 127.3602935 36.3735055, 127.3602539 36.373507, 127.3601072 36.37349, 127.3598006 36.3734554, 127.3595851 36.3734408)",30,customers,,,
317557538,2293592121,0,77338255,오름길,service,False,True,52.296,,"LINESTRING (127.3595851 36.3734408, 127.3595862 36.3733784, 127.359585 36.3729705)",30,customers,,,
317557538,317557534,0,468996775,대학로291번길,service,False,False,65.13,,"LINESTRING (127.3595851 36.3734408, 127.3594179 36.3734224, 127.3592106 36.3734239, 127.3591696 36.3734197, 127.3589249 36.3734217, 127.3588596 36.373424)",30,customers,,,
317557538,317557535,0,468996775,대학로291번길,service,False,True,128.994,,"LINESTRING (127.3595851 36.3734408, 127.3598006 36.3734554, 127.3601072 36.37349, 127.3602539 36.373507, 127.3602935 36.3735055, 127.3604698 36.3735034, 127.3606297 36.3735056, 127.3609187 36.3735043, 127.3610203 36.3734988)",30,customers,,,
317557612,317557615,0,28889925,대학로291번나길,service,False,False,143.14200000000002,,"LINESTRING (127.3612786 36.3715883, 127.3614102 36.3714597, 127.3616752 36.371274, 127.362073 36.3710064, 127.362314 36.3708869, 127.362373 36.370868, 127.3625362 36.3708158)",30,customers,,,
317557612,2293534114,0,1037932974,대학로291번라길,service,False,False,66.41900000000001,,"LINESTRING (127.3612786 36.3715883, 127.3611053 36.3715043, 127.3607149 36.3713049, 127.3606504 36.3712707)",30,customers,,,
317557612,5437915825,0,1037932974,대학로291번라길,service,False,True,132.20600000000002,,"LINESTRING (127.3612786 36.3715883, 127.3620734 36.3720487, 127.3622793 36.3721762, 127.3624543 36.3723058)",30,customers,,,
317557615,317557616,0,28889925,대학로291번나길,service,False,False,61.145,,"LINESTRING (127.3625362 36.3708158, 127.3632113 36.3707328)",30,customers,,,
317557615,317557612,0,28889925,대학로291번나길,service,False,True,143.142,,"LINESTRING (127.3625362 36.3708158, 127.362373 36.370868, 127.362314 36.3708869, 127.362073 36.3710064, 127.3616752 36.371274, 127.3614102 36.3714597, 127.3612786 36.3715883)",30,customers,,,
317557615,2293536691,0,"[564397176, 78058687]",,"['service', 'pedestrian']",False,False,93.10900000000001,,"LINESTRING (127.3625362 36.3708158, 127.3624766 36.3707652, 127.3624531 36.3707537, 127.3621744 36.3706018, 127.3618162 36.3704115, 127.3616843 36.3703384)",30,yes,,,
317557616,317557615,0,28889925,대학로291번나길,service,False,True,61.145,,"LINESTRING (127.3632113 36.3707328, 127.3625362 36.3708158)",30,customers,,,
317557616,2293585791,0,28889925,대학로291번나길,service,False,False,13.963999999999999,,"LINESTRING (127.3632113 36.3707328, 127.3633063 36.3707351, 127.3633672 36.370736)",30,customers,,,
317557616,2293539664,0,938351303,대학로291번다길,service,False,False,43.94199999999999,,"LINESTRING (127.3632113 36.3707328, 127.3632176 36.370663, 127.3632492 36.3703388)",30,customers,,,
317557623,317557625,0,28889925,대학로291번나길,service,False,False,14.658,,"LINESTRING (127.3652312 36.3711678, 127.3653693 36.371097)",30,customers,,,
317557623,2293585318,0,28889925,대학로291번나길,service,False,True,86.74100000000001,,"LINESTRING (127.3652312 36.3711678, 127.3650561 36.3711704, 127.3648957 36.3711239, 127.3645007 36.370938, 127.3644278 36.3709113, 127.3643483 36.3708858)",30,customers,,,
317557623,2293584747,0,220230113,,service,False,False,27.483,,"LINESTRING (127.3652312 36.3711678, 127.3652086 36.3712544, 127.365093 36.3713829)",30,yes,,,
317557625,2293581218,0,28889925,대학로291번나길,service,False,False,48.046,,"LINESTRING (127.3653693 36.371097, 127.3656683 36.3707382)",30,customers,,,
317557625,317557623,0,28889925,대학로291번나길,service,False,True,14.658,,"LINESTRING (127.3653693 36.371097, 127.3652312 36.3711678)",30,customers,,,
317557625,2293583308,0,220229986,,path,False,True,71.616,,"LINESTRING (127.3653693 36.371097, 127.3661202 36.3708751)",,yes,,,
317557633,2204213101,0,28889925,대학로291번나길,service,False,False,117.685,,"LINESTRING (127.3667934 36.3675456, 127.365693 36.3669668)",30,customers,,,
317557633,4943734758,0,504188988,,service,False,False,9.875,,"LINESTRING (127.3667934 36.3675456, 127.3668553 36.3674721)",,,parking_aisle,,
317557633,2293556605,0,28889925,대학로291번나길,service,False,True,45.093999999999994,,"LINESTRING (127.3667934 36.3675456, 127.3671263 36.3677347, 127.3671884 36.3677939)",30,customers,,,
317557633,2293556604,0,220226903,,service,False,False,19.222,,"LINESTRING (127.3667934 36.3675456, 127.3667636 36.3675829, 127.3666773 36.367691)",30,yes,,,
317557634,2293550214,0,28889925,대학로291번나길,service,False,True,64.777,,"LINESTRING (127.3649953 36.3665814, 127.3655931 36.3669095)",30,customers,,,
317557634,4943734756,0,504188986,,service,False,False,10.923,,"LINESTRING (127.3649953 36.3665814, 127.3650701 36.3665038)",,,parking_aisle,,
317557634,4943734754,0,28889925,대학로291번나길,service,False,False,34.624,,"LINESTRING (127.3649953 36.3665814, 127.3647645 36.366472, 127.3646531 36.3664386)",30,customers,,,
317557634,2293552798,0,220226655,,service,False,False,29.261,,"LINESTRING (127.3649953 36.3665814, 127.3649639 36.3666204, 127.3648175 36.3668022)",30,yes,,,
317557637,4943734748,0,504188983,,service,False,False,12.297,,"LINESTRING (127.3642842 36.3664138, 127.364312 36.3663055)",,,parking_aisle,,
317557637,317557642,0,28889925,대학로291번나길,service,False,False,72.967,,"LINESTRING (127.3642842 36.3664138, 127.3640224 36.3663933, 127.3638703 36.3663594, 127.3637255 36.3662983, 127.3635298 36.3662001)",30,customers,,,
317557637,4943734754,0,28889925,대학로291번나길,service,False,True,33.168,,"LINESTRING (127.3642842 36.3664138, 127.3645248 36.3664248, 127.3646531 36.3664386)",30,customers,,,
317557642,317557637,0,28889925,대학로291번나길,service,False,True,72.967,,"LINESTRING (127.3635298 36.3662001, 127.3637255 36.3662983, 127.3638703 36.3663594, 127.3640224 36.3663933, 127.3642842 36.3664138)",30,customers,,,
317557642,4627973436,0,468250682,,service,True,False,57.876000000000005,2,"LINESTRING (127.3635298 36.3662001, 127.3635215 36.3661175, 127.3638045 36.3657439)",,,,,
317557642,2292328367,0,468250685,카이서로,service,False,False,70.641,,"LINESTRING (127.3635298 36.3662001, 127.3633576 36.3661078, 127.3632958 36.3660677, 127.3631737 36.365975, 127.3630874 36.3658694, 127.3630272 36.3657906, 127.3630014 36.3657443)",30,customers,,,
317557642,2292328365,0,468250686,대학로291번길,service,False,False,125.294,4,"LINESTRING (127.3635298 36.3662001, 127.3634514 36.3662982, 127.3626946 36.3671038)",30,customers,,,
317557648,2293532366,0,220224332,,service,False,True,33.365,,"LINESTRING (127.3607721 36.369837, 127.360686 36.369788, 127.3604551 36.3696797)",30,yes,parking_aisle,,
317557648,2293536706,0,564397176,,service,False,True,57.35,,"LINESTRING (127.3607721 36.369837, 127.3608553 36.3698859, 127.3612967 36.3701329)",30,yes,,,
317557648,317557651,0,979941424,대학로291번길,service,False,False,64.507,4,"LINESTRING (127.3607721 36.369837, 127.360613 36.3700026, 127.3604053 36.3701772, 127.3602929 36.3702691)",30,customers,,,
317557648,2292336709,0,979941424,대학로291번길,service,False,True,224.978,4,"LINESTRING (127.3607721 36.369837, 127.3608542 36.3697526, 127.361084 36.3695068, 127.3613227 36.3692015, 127.3614974 36.3689776, 127.3616908 36.3687241, 127.3620618 36.3681069)",30,customers,,,
317557651,317557652,0,979941424,대학로291번길,service,False,False,29.583,4,"LINESTRING (127.3602929 36.3702691, 127.3600488 36.3704484)",30,customers,,,
317557651,2293532366,0,220224332,,service,False,False,86.443,,"LINESTRING (127.3602929 36.3702691, 127.3602195 36.370225, 127.360069 36.3701407, 127.3604551 36.3696797)",30,yes,parking_aisle,,
317557651,317557648,0,979941424,대학로291번길,service,False,True,64.507,4,"LINESTRING (127.3602929 36.3702691, 127.3604053 36.3701772, 127.360613 36.3700026, 127.3607721 36.369837)",30,customers,,,
317557652,2293469582,0,979941424,대학로291번길,service,False,False,17.769,4,"LINESTRING (127.3600488 36.3704484, 127.3598941 36.3705485)",30,customers,,,
317557652,317557651,0,979941424,대학로291번길,service,False,True,29.583,4,"LINESTRING (127.3600488 36.3704484, 127.3602929 36.3702691)",30,customers,,,
317557652,2293534609,0,220224478,,service,False,False,44.961999999999996,,"LINESTRING (127.3600488 36.3704484, 127.360118 36.3705022, 127.3604417 36.3706995)",30,yes,parking_aisle,,
317557655,317557656,0,28889926,대학로291번길,service,False,False,47.977,4,"LINESTRING (127.3584086 36.3713137, 127.3583433 36.3713305, 127.3579074 36.3714661)",30,customers,,,
317557655,4643926606,0,28889926,대학로291번길,service,False,True,109.19999999999999,4,"LINESTRING (127.3584086 36.3713137, 127.3588247 36.3711546, 127.3592499 36.3709315, 127.3594689 36.3708319)",30,customers,,,
317557655,2294278716,0,220297559,,service,False,False,44.306,,"LINESTRING (127.3584086 36.3713137, 127.358451 36.3713902, 127.358618 36.3716747)",30,yes,,,
317557656,317557670,0,28889926,대학로291번길,service,False,False,75.083,4,"LINESTRING (127.3579074 36.3714661, 127.357789 36.3715022, 127.357455 36.3716031, 127.3571531 36.3717539)",30,customers,,,
317557656,317557655,0,28889926,대학로291번길,service,False,True,47.977,4,"LINESTRING (127.3579074 36.3714661, 127.3583433 36.3713305, 127.3584086 36.3713137)",30,customers,,,
317557656,2294278118,0,487319496,,service,False,True,9.379,,"LINESTRING (127.3579074 36.3714661, 127.3578853 36.3714107, 127.3578889 36.3713847)",30,yes,,,
317557670,317557673,0,28889926,대학로291번길,service,False,False,117.195,4,"LINESTRING (127.3571531 36.3717539, 127.3570718 36.371805, 127.3568158 36.3719892, 127.3566167 36.3721672, 127.356541 36.3722966, 127.356416 36.3725918)",30,customers,,,
317557670,317557656,0,28889926,대학로291번길,service,False,True,75.083,4,"LINESTRING (127.3571531 36.3717539, 127.357455 36.3716031, 127.357789 36.3715022, 127.3579074 36.3714661)",30,customers,,,
317557670,2292338857,0,31542366,,service,False,True,93.35600000000001,,"LINESTRING (127.3571531 36.3717539, 127.3570807 36.3717131, 127.357001 36.3716385, 127.3567371 36.3715483, 127.3564676 36.3715029, 127.356198 36.3714898)",30,yes,,,
317557673,2294279586,0,"[28889926, 468996775]",대학로291번길,service,False,"[False, True]",183.146,4,"LINESTRING (127.356416 36.3725918, 127.3563231 36.372798, 127.3563013 36.3728928, 127.3562633 36.3730679, 127.3562662 36.3732881, 127.3562694 36.3734577, 127.3567442 36.3734498, 127.3572173 36.3734317)",30,customers,,,
317557673,317557670,0,28889926,대학로291번길,service,False,True,117.19500000000001,4,"LINESTRING (127.356416 36.3725918, 127.356541 36.3722966, 127.3566167 36.3721672, 127.3568158 36.3719892, 127.3570718 36.371805, 127.3571531 36.3717539)",30,customers,,,
352963031,4637385065,0,468250685,카이서로,service,False,True,17.815,,"LINESTRING (127.360668 36.3643694, 127.3608272 36.3644655)",30,customers,,,
352963031,4637385062,0,31542382,,service,False,True,18.882,,"LINESTRING (127.360668 36.3643694, 127.3606805 36.3644465, 127.360672 36.3645383)",30,yes,,,
352963156,4634753893,0,456970374,대학로291번가길,service,False,False,64.943,,"LINESTRING (127.3577756 36.3659319, 127.357437 36.3664484)",30,customers,,,
352963156,4531926854,0,456970374,대학로291번가길,service,False,True,133.919,,"LINESTRING (127.3577756 36.3659319, 127.3584633 36.3648624)",30,customers,,,
352963156,2292342980,0,31542382,,service,False,False,18.074,,"LINESTRING (127.3577756 36.3659319, 127.3578125 36.3659498, 127.3579443 36.3660211)",30,yes,,,
352963165,352963182,0,456970374,대학로291번가길,service,False,False,86.529,,"LINESTRING (127.3564309 36.3679879, 127.3559719 36.3686727)",30,customers,,,
352963165,4634753896,0,456970374,대학로291번가길,service,False,True,105.194,,"LINESTRING (127.3564309 36.3679879, 127.3569787 36.367151)",30,customers,,,
352963165,2292354473,0,220114013,,service,False,False,15.376,,"LINESTRING (127.3564309 36.3679879, 127.3564788 36.3680097, 127.356582 36.3680536)",30,yes,parking_aisle,,
352963182,352963165,0,456970374,대학로291번가길,service,False,True,86.529,,"LINESTRING (127.3559719 36.3686727, 127.3564309 36.3679879)",30,customers,,,
352963182,2292359495,0,31542374,,service,False,False,72.285,,"LINESTRING (127.3559719 36.3686727, 127.3560597 36.3686879, 127.3567624 36.3688047)",30,yes,,,
352963182,352963189,0,456970374,대학로291번가길,service,False,False,83.357,,"LINESTRING (127.3559719 36.3686727, 127.3557229 36.3690557, 127.3555498 36.3693408)",30,customers,,,
352963189,2293459552,0,220214475,,service,False,False,52.594,,"LINESTRING (127.3555498 36.3693408, 127.3556148 36.3693409, 127.3561371 36.3693322)",30,yes,parking_aisle,,
352963189,352963217,0,456970374,대학로291번가길,service,False,False,95.66399999999999,,"LINESTRING (127.3555498 36.3693408, 127.3553823 36.3695964, 127.3553059 36.3698126, 127.3552785 36.3699837, 127.3552754 36.3701577)",30,customers,,,
352963189,352963182,0,456970374,대학로291번가길,service,False,True,83.357,,"LINESTRING (127.3555498 36.3693408, 127.3557229 36.3690557, 127.3559719 36.3686727)",30,customers,,,
352963217,352963275,0,31542367,,service,False,False,28.369,,"LINESTRING (127.3552754 36.3701577, 127.3553389 36.3701587, 127.3555922 36.3701552)",30,yes,parking_aisle,,
352963217,2293462789,0,456970374,대학로291번가길,service,False,False,77.668,,"LINESTRING (127.3552754 36.3701577, 127.3552767 36.3705041, 127.3552863 36.3708561)",30,customers,,,
352963217,352963189,0,456970374,대학로291번가길,service,False,True,95.66400000000002,,"LINESTRING (127.3552754 36.3701577, 127.3552785 36.3699837, 127.3553059 36.3698126, 127.3553823 36.3695964, 127.3555498 36.3693408)",30,customers,,,
352963275,4945112006,0,31542367,,service,False,False,65.271,,"LINESTRING (127.3555922 36.3701552, 127.3563212 36.3701543)",30,yes,parking_aisle,,
352963275,2293460994,0,220214689,,service,False,False,29.713,,"LINESTRING (127.3555922 36.3701552, 127.3555954 36.369888)",30,yes,parking_aisle,,
352963275,352963217,0,31542367,,service,False,True,28.369,,"LINESTRING (127.3555922 36.3701552, 127.3553389 36.3701587, 127.3552754 36.3701577)",30,yes,parking_aisle,,
352963317,2292342980,0,31542382,,service,False,True,71.043,,"LINESTRING (127.3585929 36.3663891, 127.3579443 36.3660211)",30,yes,,,
352963317,2292345422,0,220113387,,service,False,False,37.377,,"LINESTRING (127.3585929 36.3663891, 127.3583694 36.366673)",30,yes,,,
352963317,352963331,0,31542382,,service,False,False,81.581,,"LINESTRING (127.3585929 36.3663891, 127.3587844 36.3664547, 127.3589684 36.3664879, 127.3593162 36.3664752, 127.3594766 36.3664399)",30,yes,,,
352963331,2292335706,0,220113387,,service,False,True,39.297,,"LINESTRING (127.3594766 36.3664399, 127.3595277 36.3667909)",30,yes,,,
352963331,4637385062,0,31542382,,service,False,False,238.41700000000006,,"LINESTRING (127.3594766 36.3664399, 127.3598295 36.366013, 127.3600452 36.3657627, 127.3601569 36.3656061, 127.3602085 36.3654685, 127.3602664 36.3653511, 127.36032 36.3652496, 127.3604337 36.3650245, 127.360672 36.3645383)",30,yes,,,
352963331,352963317,0,31542382,,service,False,True,81.581,,"LINESTRING (127.3594766 36.3664399, 127.3593162 36.3664752, 127.3589684 36.3664879, 127.3587844 36.3664547, 127.3585929 36.3663891)",30,yes,,,
352963401,2292342979,0,289741938,,service,False,True,47.686,,"LINESTRING (127.3588318 36.3657164, 127.3583754 36.3654954)",30,yes,parking_aisle,,
352963401,2292342541,0,456970371,,service,False,True,21.327,,"LINESTRING (127.3588318 36.3657164, 127.3589637 36.3655567)",30,yes,parking_aisle,,
352963401,2292342978,0,456970371,,service,False,False,64.614,,"LINESTRING (127.3588318 36.3657164, 127.3587268 36.3658437, 127.3582745 36.3656184)",30,yes,parking_aisle,,
910330593,2293551606,0,77338232,,service,False,False,167.748,,"LINESTRING (127.3648106 36.3691105, 127.3648062 36.3690515, 127.3647687 36.3690084, 127.3643744 36.368801, 127.3642939 36.3687578, 127.3642644 36.3687232, 127.3642421 36.3686838, 127.3642378 36.3686335, 127.364243 36.3685979, 127.3642644 36.3685505, 127.3643427 36.3684499, 127.3647591 36.3679535)",30,customers,,,
910330593,2074603279,0,392374971,대학로291번다길,service,False,False,147.131,,"LINESTRING (127.3648106 36.3691105, 127.3660592 36.3697541, 127.3660752 36.3698829)",30,yes,,,
910330593,4634217706,0,938351303,대학로291번다길,service,False,True,114.58,,"LINESTRING (127.3648106 36.3691105, 127.3646005 36.3691486, 127.364106 36.3692569, 127.3638026 36.3696281)",30,customers,,,
910330595,2293580441,0,197175305,대학로291번다길,service,False,True,6.29,,"LINESTRING (127.3680429 36.3708482, 127.3679843 36.370817)",30,customers,,,
917104038,317557516,0,78058696,,service,False,True,187.69500000000002,,"LINESTRING (127.3585878 36.3756877, 127.3589785 36.3756838, 127.3592125 36.3752914, 127.3594 36.3750054, 127.3598306 36.3744978)",30,yes,,,
917104049,317557519,0,78058699,,service,False,True,48.550000000000004,,"LINESTRING (127.3591903 36.3745496, 127.3591886 36.3744726, 127.3594936 36.3742099)",30,yes,,,
917104096,2294290629,0,220298198,,service,False,False,91.935,,"LINESTRING (127.3611192 36.375811, 127.362141 36.3757288)",30,yes,,,
917104096,2294288400,0,220298198,,service,False,True,62.977,,"LINESTRING (127.3611192 36.375811, 127.3604162 36.3758309)",30,yes,,,
917104096,2294287859,0,503901796,,service,False,True,53.27,,"LINESTRING (127.3611192 36.375811, 127.3611094 36.375332)",30,yes,,,
2060630060,2293590487,0,77338255,오름길,service,False,False,45.383,,"LINESTRING (127.3595717 36.3721381, 127.3595789 36.3725462)",30,customers,,,
2060630060,2293590487,1,220230600,,service,False,False,139.79899999999998,,"LINESTRING (127.3595717 36.3721381, 127.3595076 36.3721395, 127.3590938 36.3721364, 127.3590507 36.3721459, 127.3590182 36.3721662, 127.3589985 36.3721897, 127.3589896 36.3722219, 127.3589952 36.3724363, 127.3590046 36.3724761, 127.3590261 36.3725062, 127.3590623 36.3725244, 127.3591012 36.3725351, 127.3595183 36.3725464, 127.3595789 36.3725462)",30,yes,parking_aisle,,
2060630060,2294278714,0,77338255,오름길,service,False,True,51.373999999999995,,"LINESTRING (127.3595717 36.3721381, 127.3595605 36.3717674, 127.359559 36.3716762)",30,customers,,,
2074603279,4943734639,0,392374971,대학로291번다길,service,False,False,21.321,,"LINESTRING (127.3660752 36.3698829, 127.3662353 36.3699512, 127.3662856 36.3699727)",30,yes,,,
2074603279,910330593,0,392374971,대학로291번다길,service,False,True,147.131,,"LINESTRING (127.3660752 36.3698829, 127.3660592 36.3697541, 127.3648106 36.3691105)",30,yes,,,
2074603279,4943734641,0,504188919,,service,False,True,13.847000000000001,,"LINESTRING (127.3660752 36.3698829, 127.3660444 36.3699158, 127.3659822 36.3699824)",,,parking_aisle,,
2204213101,2293550214,0,28889925,대학로291번나길,service,False,False,10.982,,"LINESTRING (127.365693 36.3669668, 127.3655931 36.3669095)",30,customers,,,
2204213101,317557633,0,28889925,대학로291번나길,service,False,True,117.685,,"LINESTRING (127.365693 36.3669668, 127.3667934 36.3675456)",30,customers,,,
2204213101,4943734757,0,504188987,,service,False,False,11.479,,"LINESTRING (127.365693 36.3669668, 127.3657663 36.3668821)",,,parking_aisle,,
2204213101,2293554883,0,"[210339936, 220226722]",,service,False,False,116.52699999999999,,"LINESTRING (127.365693 36.3669668, 127.3656694 36.3670091, 127.3655709 36.3671859, 127.3655642 36.3672539, 127.3656588 36.3676511, 127.3660657 36.3675806)",30,yes,parking_aisle,,
2290285064,4736308374,0,480657776,,service,False,False,26.93,,"LINESTRING (127.3644737 36.3742421, 127.364548 36.3743102, 127.3646737 36.374423)",,,,,
2290285064,4937770609,0,"[503901799, 503477367]",,service,False,False,63.711,,"LINESTRING (127.3644737 36.3742421, 127.3644185 36.3741962, 127.364376 36.3741609, 127.3642334 36.3741604, 127.3642332 36.3741004, 127.3642331 36.3740692, 127.3642334 36.3738153)",,,parking_aisle,,
2290285064,317557514,0,979941423,대학로291번마길,service,False,False,96.56200000000001,,"LINESTRING (127.3644737 36.3742421, 127.3642649 36.3744088, 127.3641555 36.3744607, 127.36403 36.3744914, 127.3639054 36.3744974, 127.3635039 36.3745019)",30,customers,,,
2290285064,4722087782,0,979941423,대학로291번마길,service,False,True,31.708,,"LINESTRING (127.3644737 36.3742421, 127.3645413 36.3741872, 127.3647233 36.3740398)",30,customers,,,
2292328365,2292329732,0,220111253,,service,False,False,104.77600000000001,,"LINESTRING (127.3626946 36.3671038, 127.3626715 36.3669615, 127.362611 36.366636, 127.3625896 36.3665674, 127.3624921 36.3661763)",30,yes,,,
2292328365,2292336709,0,"[979941424, 426204521, 468250686]",대학로291번길,service,False,False,125.155,4,"LINESTRING (127.3626946 36.3671038, 127.3626575 36.3671547, 127.3625177 36.3673614, 127.3621932 36.3678747, 127.3620618 36.3681069)",30,customers,,yes,
2292328365,317557642,0,468250686,대학로291번길,service,False,True,125.294,4,"LINESTRING (127.3626946 36.3671038, 127.3634514 36.3662982, 127.3635298 36.3662001)",30,customers,,,
2292328367,2292329732,0,220111253,,service,False,True,90.868,,"LINESTRING (127.3630014 36.3657443, 127.3624099 36.3658548, 127.3624921 36.3661763)",30,yes,,,
2292328367,4641480383,0,468250685,카이서로,service,False,False,16.118000000000002,,"LINESTRING (127.3630014 36.3657443, 127.3629678 36.3656887, 127.3629189 36.3656155)",30,customers,,,
2292328367,317557642,0,468250685,카이서로,service,False,True,70.641,,"LINESTRING (127.3630014 36.3657443, 127.3630272 36.3657906, 127.3630874 36.3658694, 127.3631737 36.365975, 127.3632958 36.3660677, 127.3633576 36.3661078, 127.3635298 36.3662001)",30,customers,,,
2292329732,2292329733,0,220111525,,service,True,False,47.071,,"LINESTRING (127.3624921 36.3661763, 127.3619754 36.3662543)",30,yes,,,roundabout
2292329732,2292328367,0,220111253,,service,False,False,90.868,,"LINESTRING (127.3624921 36.3661763, 127.3624099 36.3658548, 127.3630014 36.3657443)",30,yes,,,
